,tSNE_1,tSNE_2
example_cell_1,26.23827569,3.34810755
example_cell_2,20.29440048,24.44390274
example_cell_3,9.633927586,-3.384659705
example_cell_4,24.23474504,2.728766626
example_cell_5,-0.868270674,-6.200225105
example_cell_6,10.42557199,-7.077538835
example_cell_7,5.56972246,-6.983982313
example_cell_8,4.746099435,-10.32047396
example_cell_9,0.004356978,-8.50171338
example_cell_10,8.758210026,-8.34741989
example_cell_11,6.216010091,-9.978489017
example_cell_12,25.50283708,3.23421269
example_cell_13,6.862440371,-8.270716453
example_cell_14,5.422902999,-6.057532241
example_cell_15,22.49805764,2.550385365
example_cell_16,27.24985735,4.845129378
example_cell_17,18.44422728,24.49037332
example_cell_18,22.76899949,1.79782607
example_cell_19,30.12884686,-16.59689801
example_cell_20,-3.753303369,-9.378472576
example_cell_21,23.95717178,3.434235578
example_cell_22,22.20056326,2.230908955
example_cell_23,26.9058528,3.931874355
example_cell_24,6.2004148,-5.879645175
example_cell_25,24.35560323,6.81025323
example_cell_26,0.271272443,-7.513069061
example_cell_27,26.71286304,3.505963922
example_cell_28,5.499594772,-7.93259707
example_cell_29,7.306480002,-7.82911004
example_cell_30,-8.236169723,-8.449163312
example_cell_31,26.37412764,2.6261455
example_cell_32,24.2132787,2.870036209
example_cell_33,8.778998848,-7.881436149
example_cell_34,24.78537669,2.566130871
example_cell_35,6.256092831,-7.902589904
example_cell_36,24.74131387,2.225774855
example_cell_37,5.251453319,-10.80029158
example_cell_38,3.395224429,-7.061556803
example_cell_39,19.20470905,-10.77267418
example_cell_40,-3.622782354,-10.24069974
example_cell_41,4.155243014,-12.93025963
example_cell_42,7.105839009,-6.649935527
example_cell_43,5.185116262,-6.376260971
example_cell_44,23.9150814,3.583483266
example_cell_45,22.60600267,-22.84626571
example_cell_46,25.94886984,2.691855153
example_cell_47,3.72825313,-11.48350583
example_cell_48,6.370261962,-12.99592126
example_cell_49,3.469170473,-9.329117695
example_cell_50,4.751678695,-9.810286067
example_cell_51,7.615548973,-4.5799609
example_cell_52,7.421856449,-10.92653363
example_cell_53,12.66089066,-2.843831608
example_cell_54,6.300953046,-8.140370585
example_cell_55,7.702313801,-11.01062418
example_cell_56,21.59290018,3.352310616
example_cell_57,4.471667692,-11.73967073
example_cell_58,6.825644512,-6.342990459
example_cell_59,3.636474569,-9.827825015
example_cell_60,23.69972584,2.747418666
example_cell_61,26.35106354,3.754129037
example_cell_62,24.05362522,2.940904336
example_cell_63,7.701624062,-10.3271094
example_cell_64,4.382174114,-6.639887722
example_cell_65,12.11918498,-4.396868771
example_cell_66,10.2216502,-4.656109834
example_cell_67,22.23759996,1.745726797
example_cell_68,5.789311034,-9.72853898
example_cell_69,5.121970129,-8.591942477
example_cell_70,6.722052534,-12.73108287
example_cell_71,8.738610656,-7.62467133
example_cell_72,19.47537165,18.36409305
example_cell_73,16.03790713,10.09950528
example_cell_74,7.492993487,-11.50740173
example_cell_75,27.42024778,3.504825339
example_cell_76,10.04455573,-4.729928987
example_cell_77,7.981831219,-10.11776865
example_cell_78,-1.746170781,-7.385580489
example_cell_79,19.93765269,20.2859897
example_cell_80,4.366170898,-11.01138692
example_cell_81,9.09228411,-3.479148882
example_cell_82,8.785372926,-5.180784781
example_cell_83,12.00205432,-4.432345914
example_cell_84,22.96413787,1.791408718
example_cell_85,23.2132699,8.634038583
example_cell_86,6.804394118,-8.785461627
example_cell_87,4.065987922,-10.45213804
example_cell_88,22.90139855,2.758457141
example_cell_89,4.655345794,-11.72002713
example_cell_90,6.095470579,-9.25208048
example_cell_91,9.574550508,-6.159462061
example_cell_92,7.088724332,-10.85135098
example_cell_93,12.7531916,-4.036438223
example_cell_94,6.480737322,-11.57484294
example_cell_95,23.10987576,2.041313118
example_cell_96,9.360703795,-5.215409972
example_cell_97,4.486353719,-8.889997418
example_cell_98,9.787197327,-6.008218845
example_cell_99,3.041609839,-10.94972168
example_cell_100,7.278577658,-5.308485921
example_cell_101,-1.196402899,-8.025044664
example_cell_102,10.75617747,-6.922685051
example_cell_103,18.75633258,23.68121613
example_cell_104,17.04253646,-2.982115735
example_cell_105,24.57770509,2.228413973
example_cell_106,8.003454676,-10.40684247
example_cell_107,6.797980217,-9.759416309
example_cell_108,9.532275878,-6.211375912
example_cell_109,14.85618374,9.956732576
example_cell_110,5.585998751,-10.10850314
example_cell_111,6.866119946,-11.99009698
example_cell_112,22.02758658,3.794540254
example_cell_113,8.035866681,-6.127460597
example_cell_114,26.32851107,3.334229003
example_cell_115,10.69425367,-7.135280774
example_cell_116,7.207178325,-10.40186468
example_cell_117,-2.004967646,-7.273250961
example_cell_118,8.220082584,-6.004119
example_cell_119,4.138838585,-9.843772912
example_cell_120,3.946912249,-9.366600179
example_cell_121,8.062765948,-10.74903779
example_cell_122,4.454183274,-9.979058077
example_cell_123,11.98337985,-2.529904784
example_cell_124,23.22522267,2.865409076
example_cell_125,3.218143601,-9.450933012
example_cell_126,26.9645977,3.222843618
example_cell_127,3.881126609,-11.59230839
example_cell_128,4.187181554,-8.573120467
example_cell_129,6.263060625,-10.80709981
example_cell_130,17.34473468,-2.618651094
example_cell_131,3.340359639,-9.264267022
example_cell_132,2.908384294,-11.75700755
example_cell_133,26.19645224,2.287561214
example_cell_134,23.54263441,2.327815396
example_cell_135,7.612795114,-8.80378962
example_cell_136,26.0278665,2.762631318
example_cell_137,26.04763215,2.622323688
example_cell_138,24.62552208,2.51642632
example_cell_139,11.91358213,-4.492411096
example_cell_140,19.1349071,23.74150014
example_cell_141,0.41572619,-8.458706736
example_cell_142,22.18776002,1.742880984
example_cell_143,23.46787609,18.29256755
example_cell_144,-2.013440651,-7.816885127
example_cell_145,1.426187466,-16.31670795
example_cell_146,22.27533675,2.006985693
example_cell_147,-2.023203698,-8.259538725
example_cell_148,8.453878463,-5.720550683
example_cell_149,18.32411054,-3.289045709
example_cell_150,3.309535487,-11.36767927
example_cell_151,27.80284046,4.561225038
example_cell_152,5.029135338,-11.37322595
example_cell_153,4.233986802,-8.299966244
example_cell_154,3.604627556,-6.422669666
example_cell_155,9.406397523,-5.165996419
example_cell_156,-1.481179884,-8.72157641
example_cell_157,10.7012658,-6.843357867
example_cell_158,16.89386382,-2.98796608
example_cell_159,10.0323658,-4.831529322
example_cell_160,6.63089361,-10.70296179
example_cell_161,-11.93315187,-11.21017577
example_cell_162,7.811828882,-7.493589768
example_cell_163,18.96634555,-11.68337763
example_cell_164,6.772759045,-12.39717784
example_cell_165,22.66769298,2.534398149
example_cell_166,24.76658624,3.468483535
example_cell_167,-6.812548759,-9.402654966
example_cell_168,5.664017083,-10.25095541
example_cell_169,5.511636527,-7.531598825
example_cell_170,8.55122948,-5.429708696
example_cell_171,10.10702758,-4.627488657
example_cell_172,22.30300982,3.433186783
example_cell_173,4.304648931,-11.65245173
example_cell_174,13.99286295,-18.92159166
example_cell_175,6.272277631,-8.493387822
example_cell_176,26.95458144,2.945580328
