,example_cell_1,example_cell_2,example_cell_3,example_cell_4,example_cell_5,example_cell_6,example_cell_7,example_cell_8,example_cell_9,example_cell_10,example_cell_11,example_cell_12,example_cell_13,example_cell_14,example_cell_15,example_cell_16,example_cell_17,example_cell_18,example_cell_19,example_cell_20,example_cell_21,example_cell_22,example_cell_23,example_cell_24,example_cell_25,example_cell_26,example_cell_27,example_cell_28,example_cell_29,example_cell_30,example_cell_31,example_cell_32,example_cell_33,example_cell_34,example_cell_35,example_cell_36,example_cell_37,example_cell_38,example_cell_39,example_cell_40,example_cell_41,example_cell_42,example_cell_43,example_cell_44,example_cell_45,example_cell_46,example_cell_47,example_cell_48,example_cell_49,example_cell_50,example_cell_51,example_cell_52,example_cell_53,example_cell_54,example_cell_55,example_cell_56,example_cell_57,example_cell_58,example_cell_59,example_cell_60,example_cell_61,example_cell_62,example_cell_63,example_cell_64,example_cell_65,example_cell_66,example_cell_67,example_cell_68,example_cell_69,example_cell_70,example_cell_71,example_cell_72,example_cell_73,example_cell_74,example_cell_75,example_cell_76,example_cell_77,example_cell_78,example_cell_79,example_cell_80,example_cell_81,example_cell_82,example_cell_83,example_cell_84,example_cell_85,example_cell_86,example_cell_87,example_cell_88,example_cell_89,example_cell_90,example_cell_91,example_cell_92,example_cell_93,example_cell_94,example_cell_95,example_cell_96,example_cell_97,example_cell_98,example_cell_99,example_cell_100,example_cell_101,example_cell_102,example_cell_103,example_cell_104,example_cell_105,example_cell_106,example_cell_107,example_cell_108,example_cell_109,example_cell_110,example_cell_111,example_cell_112,example_cell_113,example_cell_114,example_cell_115,example_cell_116,example_cell_117,example_cell_118,example_cell_119,example_cell_120,example_cell_121,example_cell_122,example_cell_123,example_cell_124,example_cell_125,example_cell_126,example_cell_127,example_cell_128,example_cell_129,example_cell_130,example_cell_131,example_cell_132,example_cell_133,example_cell_134,example_cell_135,example_cell_136,example_cell_137,example_cell_138,example_cell_139,example_cell_140,example_cell_141,example_cell_142,example_cell_143,example_cell_144,example_cell_145,example_cell_146,example_cell_147,example_cell_148,example_cell_149,example_cell_150,example_cell_151,example_cell_152,example_cell_153,example_cell_154,example_cell_155,example_cell_156,example_cell_157,example_cell_158,example_cell_159,example_cell_160,example_cell_161,example_cell_162,example_cell_163,example_cell_164,example_cell_165,example_cell_166,example_cell_167,example_cell_168,example_cell_169,example_cell_170,example_cell_171,example_cell_172,example_cell_173,example_cell_174,example_cell_175,example_cell_176,example_cell_177,example_cell_178,example_cell_179,example_cell_180,example_cell_181,example_cell_182,example_cell_183,example_cell_184,example_cell_185,example_cell_186,example_cell_187,example_cell_188,example_cell_189,example_cell_190,example_cell_191,example_cell_192,example_cell_193,example_cell_194,example_cell_195,example_cell_196,example_cell_197,example_cell_198,example_cell_199,example_cell_200
RP11-34P13.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-34P13.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FO538757.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FO538757.2,0,0,0,0,0,0,0,0,0,0.677069154,0,0,0,0.689789177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.486495437,0,0,0,0,0,0,0.617684034,0,0,0,0,0.252062693,0,0,0,0,0,0,0,0,0,0,0,0.165984075,0,0,0.652129747,0.74020776,0,0,0,0,0,0,0.255918321,0,0,0,0,0.294682869,0.531804443,0.184480219,0,0,0,0,0,0,0,0,0,0.287473891,0,0,0,0,0,0,0,0.758471033,0.64109219,0,0,0,0,0.556494464,0,0,0,0,0,0.706718125,0,0,0,0,0,0,0,0,0,0.170947145,0,0.764586349,0,0,0.758682281,0,0,0,0.677092965,0,0,0,0,0,0,0.187537001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.306760072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.371622531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AP006222.2,0,0,0.25167049,0,0,0,0,0,0,0,0,0,0,0.403227693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.364921336,0,0,0.86001774,0.863505765,0,0,0,0,0,0,0.773468198,0,0,0.252062693,0,1.695321726,0,0,0,0,0,0,0,0,0,0.733965564,0,0,0,0,0.829347467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.599099741,0,0,0,0,0,0.154031724,0,0,0,0,0,0,0,0,0,0,0,0,0.508357863,0,0.289899145,0,1.132029108,0,0,0,0,0,0,0,0.683367694,0,0,0,0,0.170947145,0,0.764586349,0,0,0.758682281,0,0,0,0,0,0,0,0,0,0,0.345396414,0,0,0,0,0,3.073552052,0,0,0.568412605,0,0,0,0,0,0,0.306760072,0,0,0,0,0.948575199,0,0.389372623,0,0,0,0,0,1.317108724,0,0,0.251010037,0,0,0,0,0,0,0,0,0,0.554910297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.503753719
RP4-669L17.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.735315145,0,0,0,0,0,0,0.285416841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.251010037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP5-857K21.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.251010037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-206L10.9,0,0,0,0,0,0,0.51315644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165984075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.015726797,0,0,0,0,0.154031724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.353531757,0,0,0,0,0,0,0,0,0,0,0,0,0.371622531,0,0,0.690011992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM87B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC00115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.486495437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.285416841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM41C,0,0,0,0,0,0,0,0.667890276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.416055002,0,0,0,0,0,0,0,0,0.364284138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154031724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187537001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.353531757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.669607602,0,0.554910297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-54O7.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-54O7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-54O7.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.382378099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMD11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.255918321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.306760072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOC2L,0,0,0.25167049,0,0,0.567998058,0.51315644,0,0,0.677069154,0,0,0.703351092,0,0,0,0,0,0,0,2.01178937,0,0,0.416055002,0,0,0,0,0.658313662,0,1.310643404,0,0,0,0.705445078,0,0,0,0,0,0.486495437,0.86001774,0.52219868,0,0,0,0,0,0,0,0.46448295,0.731542251,0.453209266,0,0,0,0,0.481739788,0,0,0,0,0,0,0.543612534,0.578896006,0,0,0,0,0,0,0,0.679626841,0,0.459507769,0.794616641,0,0,0.661746454,0.522003494,0.300845319,0.340169953,0,1.624977235,0.498674774,0,0,0,0,0.507198787,0,0.154031724,0.833520031,0,0.312795581,0,0.251130437,0,0,0.44948498,0.64109219,0,0,1.835569619,0,0,0,0,0,0.668353517,0,0.414532837,1.180753378,0,0.677903579,0,0.683367694,0.94964274,0,0.632970957,0,0.170947145,0,0,0,0,0,0.958276947,0,0,0,0,0,0,0,1.68809586,1.543700833,0.481700359,1.78491737,0,0,0,0,0,0,0,0.764627261,1.876556006,0,1.16747232,0,0.882956234,0.975444656,0,0,1.137974355,0,0.424798709,0,0,0.887135162,0,0.47987804,0,0,0,0,0,0,0.251010037,0,0.690011992,0,0,0,0,0,0.669607602,0.480795294,0.554910297,0,0,0,0,0,0,0,0.970937976,0,0,0,0.432627052,0,0.993075511,0.599914407,0,0.763238853,0,0
KLHL17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLEKHN1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.481739788,0,0,0,0,0,0,0.165984075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
